City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,preeceville,51.95,-102.6677,-0.58,88,24,4.23,CA,1675813170
241,sarakhs,36.5449,61.1577,14.07,56,65,6.95,IR,1675813721
242,cherskiy,68.75,161.3,-35.21,98,100,2.37,RU,1675813723
243,lerwick,60.1545,-1.1494,7.0,74,15,13.82,GB,1675813283
244,phalombe,-15.8064,35.6507,19.08,96,98,0.82,MW,1675813724
245,broome,42.2506,-75.833,4.83,72,100,4.63,US,1675813214
246,mareeba,-17.0,145.4333,29.71,78,87,1.76,AU,1675813725
247,rundu,-17.9333,19.7667,18.14,94,100,2.3,NA,1675813725
248,yamada,39.4667,141.95,1.72,83,99,3.88,JP,1675813726
249,flinders,-34.5833,150.8552,21.32,93,100,1.74,AU,1675813270
250,labuhan,-6.8844,112.2051,24.63,90,100,3.97,ID,1675813193
251,la palma,33.8464,-118.0467,23.26,27,0,5.14,US,1675813727
252,ishigaki,24.3448,124.1572,20.07,83,40,5.14,JP,1675813727
253,ancud,-41.8697,-73.8203,15.45,91,5,2.46,CL,1675813727
254,zafra,38.4167,-6.4167,5.92,92,95,3.59,ES,1675813728
255,rabaul,-4.1967,152.1721,27.78,76,100,4.12,PG,1675813728
256,birao,10.2849,22.7882,23.4,15,74,5.48,CF,1675813728
257,yerofey pavlovich,53.9667,121.9667,-25.42,96,100,0.76,RU,1675813729
258,katsuura,35.1333,140.3,10.56,75,98,7.7,JP,1675813729
259,manta,-0.95,-80.7333,28.88,74,75,4.12,EC,1675813730
260,nepa nagar,21.4667,76.4,17.23,35,0,2.32,IN,1675813730
261,bell ville,-32.6259,-62.6887,28.15,24,0,2.8,AR,1675813730
262,sorland,67.667,12.6934,5.92,76,100,19.86,NO,1675813731
263,aykhal,66.0,111.5,-39.07,100,99,1.46,RU,1675813272
264,ossora,59.2353,163.0719,-24.76,84,98,2.73,RU,1675813731
265,stornoway,58.2093,-6.3865,7.18,78,100,14.92,GB,1675813731
266,balabac,7.9868,117.0645,26.25,84,100,5.45,PH,1675813732
267,hamilton,39.1834,-84.5333,12.77,83,100,3.6,US,1675813193
268,dohar,23.5883,90.1469,19.99,88,0,0.93,BD,1675813732
269,panna,24.7167,80.2,12.36,55,0,2.13,IN,1675813733
270,xining,36.6167,101.7667,-3.13,94,100,0.35,CN,1675813733
271,taian,36.1853,117.12,3.51,64,100,2.19,CN,1675813733
272,preobrazheniye,42.9019,133.9064,-5.25,56,78,2.12,RU,1675813734
273,manono,-7.3,27.4167,19.72,97,99,0.93,CD,1675813734
274,puerto narino,-3.7703,-70.3831,23.04,97,73,0.37,CO,1675813734
275,belmonte,-15.8631,-38.8828,25.91,78,5,4.37,BR,1675813255
276,limulunga,-15.0969,23.1376,18.39,97,100,2.24,ZM,1675813735
277,biak,-0.9131,122.8766,26.02,76,98,1.75,ID,1675813735
278,mpongwe,-13.5091,28.155,17.52,99,100,1.79,ZM,1675813736
279,sioux lookout,50.1001,-91.917,-6.96,73,75,2.06,CA,1675813736
280,serravalle,43.969,12.4817,1.61,74,40,4.47,SM,1675813647
281,muroto,33.2833,134.15,11.78,68,36,2.76,JP,1675813737
282,arona,28.0996,-16.681,13.23,67,40,1.03,ES,1675813737
283,lata,40.1629,-8.3327,6.07,77,12,1.7,PT,1675813737
284,baykit,61.67,96.37,-15.49,98,100,0.72,RU,1675813738
285,zavodouspenskoye,56.8626,65.0155,-19.88,100,100,1.19,RU,1675813738
286,pozoblanco,38.3791,-4.8483,4.83,92,100,2.19,ES,1675813739
287,goure,13.9835,10.2704,19.53,19,100,4.28,NE,1675813167
288,olga,43.7444,135.2892,-8.21,66,96,2.19,RU,1675813739
289,warren,39.4334,-84.1666,12.31,83,75,6.69,US,1675813663
290,nemuro,43.3236,145.575,-3.81,69,56,2.64,JP,1675813740
291,wanning,18.8003,110.3967,22.6,92,20,2.35,CN,1675813453
292,riberalta,-10.9833,-66.1,27.11,78,75,4.12,BO,1675813740
293,umm lajj,25.0213,37.2685,16.05,57,96,4.85,SA,1675813486
294,ayagoz,47.9714,80.4392,-6.88,95,100,1.27,KZ,1675813741
295,muros,42.7762,-9.0603,6.19,70,16,9.44,ES,1675813741
296,arlit,18.7369,7.3853,22.68,15,100,1.91,NE,1675813741
297,tromso,69.6496,18.957,3.01,60,100,8.75,NO,1675813742
298,chuy,-33.6971,-53.4616,23.06,74,25,5.58,UY,1675813743
299,jinzhou,41.1078,121.1417,-4.38,53,0,1.6,CN,1675813743
300,sao jose da coroa grande,-8.8978,-35.1478,25.37,69,88,3.63,BR,1675813744
301,soligalich,59.0778,42.2864,-9.49,94,99,3.86,RU,1675813744
302,badarpur,24.9,92.6,14.0,61,1,1.49,IN,1675813745
303,jawhar,2.7809,45.5005,22.83,86,15,4.73,SO,1675813745
304,benavente,42.0025,-5.6783,2.03,77,79,2.68,ES,1675813746
305,meulaboh,4.1363,96.1285,23.77,83,100,1.17,ID,1675813747
306,ginda,30.6945,78.4932,3.84,21,0,3.83,IN,1675813747
307,abu samrah,35.3029,37.1841,3.51,83,58,4.66,SY,1675813195
308,uspenka,48.3903,39.1619,-8.09,77,55,6.87,UA,1675813748
309,umuarama,-23.7664,-53.325,23.14,64,19,1.96,BR,1675813748
310,husavik,66.0449,-17.3389,-4.55,66,59,4.83,IS,1675813749
311,along,28.1667,94.7667,12.15,93,100,1.23,IN,1675813749
312,soyo,-6.1349,12.3689,26.4,82,72,3.64,AO,1675813316
313,kabo,7.6994,18.629,24.42,14,4,2.17,CF,1675813750
314,el prat de llobregat,41.3278,2.0947,11.25,83,75,11.83,ES,1675813750
315,bonthe,7.5264,-12.505,24.27,76,100,1.84,SL,1675813249
316,hambantota,6.1241,81.1185,23.91,86,91,5.06,LK,1675813171
317,lompoc,34.6391,-120.4579,21.5,63,40,3.6,US,1675813751
318,caravelas,-17.7125,-39.2481,25.47,82,2,3.84,BR,1675813667
319,khor,47.8861,134.9464,-23.19,90,18,3.69,RU,1675813752
320,ust-barguzin,53.45,108.9833,-20.14,99,90,1.84,RU,1675813752
321,arauco,-37.2463,-73.3175,18.35,60,0,5.47,CL,1675813625
322,mongo,12.1844,18.693,22.78,18,11,3.13,TD,1675813753
323,piranhas,-16.4269,-51.8222,23.29,84,23,2.59,BR,1675813346
324,staroaleyskoye,51.0061,82.0,-12.74,97,100,0.54,RU,1675813754
325,vyartsilya,62.1764,30.693,-0.91,97,100,3.35,RU,1675813755
326,santa lucia,27.9117,-15.5407,11.62,67,75,3.6,ES,1675813720
327,santa cruz,-17.8,-63.1667,28.03,74,75,4.12,BO,1675813755
328,rawson,-43.3002,-65.1023,19.05,57,22,5.67,AR,1675813583
329,ankazoabo,-22.2833,44.5167,20.68,93,100,1.94,MG,1675813756
330,luis correia,-2.8792,-41.6669,24.8,89,100,3.65,BR,1675813757
331,sidney,-33.8679,151.2073,27.53,65,75,4.12,AU,1675813755
332,marshall,34.3834,-86.3333,19.03,48,75,0.0,US,1675813758
333,paamiut,61.994,-49.6678,-18.5,86,99,4.93,GL,1675813758
334,rongcheng,30.634,117.8517,8.26,89,100,3.19,CN,1675813759
335,kirovskiy,45.0917,133.5136,-15.7,94,82,0.68,RU,1675813760
336,gallup,35.5281,-108.7426,4.91,50,0,2.57,US,1675813760
337,mlonggo,-6.5333,110.7,24.6,92,100,3.0,ID,1675813761
338,assiros,40.8167,23.0333,1.03,45,2,1.54,GR,1675813762
339,saint-philippe,-21.3585,55.7679,24.77,83,85,6.27,RE,1675813763
340,wiarton,44.7407,-81.1332,3.25,81,100,5.14,CA,1675813763
341,nanlong,31.3533,106.0631,10.45,94,100,1.63,CN,1675813764
342,stepnyak,52.8339,70.7803,-13.77,96,100,1.76,KZ,1675813765
343,port lincoln,-34.7333,135.8667,21.82,65,3,5.13,AU,1675813547
344,lodja,-3.4833,23.4333,22.81,79,100,1.79,CD,1675813766
345,ziebice,50.6012,17.0406,-2.58,73,94,1.84,PL,1675813766
346,kieta,-6.2167,155.6333,28.49,76,78,3.46,PG,1675813767
347,alyangula,-13.8483,136.4192,29.61,67,100,1.73,AU,1675813250
348,shilong,23.1123,113.8425,20.14,79,94,2.38,CN,1675813767
349,talcahuano,-36.7167,-73.1167,21.82,46,0,5.66,CL,1675813768
350,mayor pablo lagerenza,-19.9309,-60.7718,24.78,77,84,1.8,PY,1675813768
351,at-bashi,41.1702,75.8106,-16.68,54,32,2.37,KG,1675813769
352,kuching,1.55,110.3333,27.23,91,20,0.0,MY,1675813717
353,aquiraz,-3.9014,-38.3911,27.88,76,100,5.1,BR,1675813770
354,jardim,-21.4803,-56.1381,21.8,97,82,1.82,BR,1675813770
355,okhotsk,59.3833,143.3,-25.65,84,95,4.67,RU,1675813771
356,yuyao,30.05,121.1494,7.87,84,100,2.01,CN,1675813771
357,khash,28.2211,61.2158,11.66,51,9,3.21,IR,1675813199
358,shunyi,40.125,116.6453,-10.03,79,0,2.0,CN,1675813772
